id,title,deity,deity_key,deity_group,type,tradition_region,priority,copyright_status,original_sourced,transliteration_done,meaning_en_done,meaning_hi_done,reviewed,source_url,notes,copyright_risk,author,period,origin_note
V011,Ahoi Ashtami Vrat Katha,Ahoi Mata,ahoi,shakti,Vrat Katha,North India,2,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Own retelling required,REVIEW-version,,,
V012,Hartalika Teej Vrat Katha,Parvati / Shiva,parvati,shakti,Vrat Katha,North India / Nepal,2,Public domain (Puranic origin - Shiva narrating Parvati's tapasya); prose editions owned,no,no,no,no,no,,Own retelling from the Puranic account,PD-clear,,,
V013,Vat Savitri Vrat Katha,Savitri,savitri,legend,Vrat Katha,Pan-India,2,"Public domain (Mahabharata, Vana Parva - Savitri-Satyavan)",no,no,no,no,no,,Strong PD source in the epic; own retelling,PD-clear,,,
V014,Sankashti / Sakat Chauth Vrat Katha,Ganesha,ganesha,ganesha,Vrat Katha,Pan-India,1,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Monthly vrat - recurring traffic; own retelling,REVIEW-version,,,
V015,Pradosh Vrat Katha,Shiva,shiva,shiva,Vrat Katha,Pan-India,2,Verify (Skanda Purana tradition; prose editions owned),no,no,no,no,no,,Fortnightly vrat; own retelling,REVIEW-version,,,
V016,Nirjala Ekadashi Vrat Katha,Vishnu,vishnu,vishnu,Vrat Katha,Pan-India,1,"Public domain (Puranic origin - Bhimseni Ekadashi, Mahabharata tradition)",no,no,no,no,no,,Highest-profile Ekadashi; own retelling,PD-clear,,,
V017,Dev Uthani (Prabodhini) Ekadashi + Tulsi Vivah Katha,Vishnu / Tulsi,vishnu,vishnu,Vrat Katha,Pan-India,1,Public domain (Puranic origin); prose editions owned,no,no,no,no,no,,Includes Tulsi Vivah; pairs with A030; own retelling,PD-clear,,,
V018,Devshayani Ekadashi Vrat Katha,Vishnu,vishnu,vishnu,Vrat Katha,Pan-India,2,Public domain (Puranic origin); prose editions owned,no,no,no,no,no,,Chaturmas begins; own retelling,PD-clear,,,
V019,Putrada Ekadashi Vrat Katha,Vishnu,vishnu,vishnu,Vrat Katha,Pan-India,3,Public domain (Bhavishyottara Purana tradition); prose editions owned,no,no,no,no,no,,Own retelling,PD-clear,,,
V020,Mokshada Ekadashi Vrat Katha (Gita Jayanti),Vishnu / Krishna,vishnu,vishnu,Vrat Katha,Pan-India,3,Public domain (Puranic origin); prose editions owned,no,no,no,no,no,,Gita Jayanti tie-in; own retelling,PD-clear,,,
V021,Mahashivratri Vrat Katha,Shiva,shiva,shiva,Vrat Katha,Pan-India,1,Public domain (Puranic origins - hunter/Lubdhaka and other accounts),no,no,no,no,no,,Multiple traditional accounts - present as variants; own retelling,PD-clear,,,
V022,Janmashtami Vrat Katha,Krishna,krishna,vishnu,Vrat Katha,Pan-India,1,"Public domain (Bhagavata Purana, Skandha 10)",no,no,no,no,no,,Strong PD source; own retelling; pairs with A008,PD-clear,,,
V023,Anant Chaturdashi Vrat Katha,Vishnu (Anant),vishnu,vishnu,Vrat Katha,Pan-India,2,Public domain (Mahabharata tradition - Krishna to Yudhishthira),no,no,no,no,no,,Own retelling,PD-clear,,,
V024,Rishi Panchami Vrat Katha,Sapta Rishi,saptarishi,other,Vrat Katha,Pan-India,3,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Own retelling required,REVIEW-version,,,
V025,Jivitputrika (Jitiya) Vrat Katha,Jimutavahana,jimutavahana,legend,Vrat Katha,Bihar / UP / Nepal,2,"Public domain (Jimutavahana legend, ancient)",no,no,no,no,no,,Regional importance; own retelling,PD-clear,,,
V026,Chhath Vrat Katha,Surya / Chhathi Maiya,surya,surya,Vrat Katha,Bihar / Eastern India,2,Verify (traditional tales PD; multiple regional versions; prose editions owned),no,no,no,no,no,,Major regional festival; own retelling with variant notes,REVIEW-version,,,
V027,Sheetala Ashtami (Basoda) Vrat Katha,Sheetala Mata,sheetala,shakti,Vrat Katha,North India,2,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Pairs with C022; own retelling,REVIEW-version,,,
V028,Navratri / Durga Ashtami Vrat Katha,Durga,durga,shakti,Vrat Katha,Pan-India,2,Public domain (Markandeya Purana - Devi Mahatmya frame story),no,no,no,no,no,,Strong PD source; own retelling; pairs with A004 and C002,PD-clear,,,
V029,Diwali Lakshmi Puja Katha,Lakshmi,lakshmi,shakti,Vrat Katha,Pan-India,1,Verify (traditional tales PD; multiple versions; prose editions owned),no,no,no,no,no,,High seasonal traffic; own retelling with variant notes,REVIEW-version,,,
V030,Dhanteras Katha,Dhanvantari / Yama,dhanvantari,vishnu,Vrat Katha,Pan-India,2,Public domain (Puranic origins - Samudra Manthan / King Hima tale),no,no,no,no,no,,Own retelling,PD-clear,,,
V031,Akshaya Tritiya Katha,Vishnu / Lakshmi,vishnu,vishnu,Vrat Katha,Pan-India,3,Public domain (Puranic and Mahabharata traditions),no,no,no,no,no,,Own retelling,PD-clear,,,
V032,Santan Saptami Vrat Katha,Shiva / Parvati,shiva,shiva,Vrat Katha,North India,3,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Own retelling required,REVIEW-version,,,
