aarti_id,line_no,section,original,translit_roman,meaning_en,meaning_hi,meaning_mr,meaning_gu,meaning_pa,meaning_bn,meaning_ta,meaning_te,meaning_kn,meaning_ml,notes,original_true_script
SK001,11,chaupai,जिमि अमोघ रघुपति कर बाना। एही भाँति चलेउ हनुमाना ॥,"Jimi amogha Raghupati kara bana, ehi bha.nti chaleu hanumana .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,12,chaupai,जलनिधि रघुपति दूत बिचारी। तैं मैनाक होहि श्रमहारी ॥,"Jalanidhi Raghupati duta bichari, taim mainaka hohi shramahari .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,13,doha,हनूमान तेहि परसा कर पुनि कीन्ह प्रनाम। राम काजु कीन्हें बिनु मोहि कहाँ बिश्राम ॥,"Hanumana tehi parasa kara puni kinha pranama, rama kaju kinhem binu mohi kaha.n bishrama .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: 1. Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,14,chaupai,जात पवनसुत देवन्ह देखा। जानैं कहुँ बल बुद्धि बिसेषा ॥,"Jata Pavanasuta devanha dekha, janaim kahu.n bala buddhi bisesha .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,15,chaupai,सुरसा नाम अहिन्ह कै माता। पठइन्हि आइ कही तेहिं बाता ॥,"Surasa nama ahinha kai mata, pathainhi ai kahi tehim bata .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,16,chaupai,आजु सुरन्ह मोहि दीन्ह अहारा। सुनत बचन कह पवनकुमारा ॥,"Aju suranha mohi dinha ahara, sunata bachana kaha pavanakumara .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,17,chaupai,राम काजु करि फिरि मैं आवौं। सीता कइ सुधि प्रभुहि सुनावौं ॥,"Rama kaju kari phiri maim avaum, Sita kai sudhi prabhuhi sunavaum .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,18,chaupai,तब तव बदन पैठिहउँ आई। सत्य कहउँ मोहि जान दे माई ॥,"Taba tava badana paithihau.n ai, satya kahau.n mohi jana de mai .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,19,chaupai,कबनेहुँ जतन देइ नहिं जाना। ग्रससि न मोहि कहेउ हनुमाना ॥,"Kabanehu.n jatana dei nahim jana, grasasi na mohi kaheu hanumana .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,20,chaupai,जोजन भरि तेहिं बदनु पसारा। कपि तनु कीन्ह दुगुन बिस्तारा ॥,"Jojana bhari tehim badanu pasara, kapi tanu kinha duguna bistara .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,21,chaupai,सोरह जोजन मुख तेहिं ठयऊ। तुरत पवनसुत बत्तिस भयऊ ॥,"Soraha jojana mukha tehim thayau, turata Pavanasuta battisa bhayau .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,22,chaupai,जस जस सुरसा बदनु बढ़ावा। तासु दून कपि रूप देखावा ॥,"Jasa jasa Surasa badanu ba.dhava, tasu duna kapi rupa dekhava .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,23,chaupai,सत जोजन तेहिं आनन कीन्हा। अति लघु रूप पवनसुत लीन्हा ॥,"Sata jojana tehim anana kinha, ati laghu rupa Pavanasuta linha .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,24,chaupai,बदन पइठि पुनि बाहेर आवा। मागा बिदा ताहि सिरु नावा ॥,"Badana paithi puni bahera ava, maga bida tahi siru nava .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,25,chaupai,मोहि सुरन्ह जेहि लागि पठावा। बुधि बल मरमु तोर मै पावा ॥,"Mohi suranha jehi lagi pathava, budhi bala maramu tora mai pava .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,26,doha,राम काजु सबु करिहहु तुम्ह बल बुद्धि निधान। आसिष देह गई सो हरषि चलेउ हनुमान ॥,"Rama kaju sabu karihahu tumha bala buddhi nidhana, asisha deha gai so harashi chaleu hanumana .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: 2. Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,27,chaupai,निसिचरि एक सिंधु महुँ रहई। करि माया नभु के खग गहई ॥,"Nisichari eka simdhu mahu.n rahai, kari maya nabhu ke khaga gahai .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,28,chaupai,जीव जंतु जे गगन उड़ाहीं। जल बिलोकि तिन्ह कै परिछाहीं ॥,"Jiva jamtu je gagana u.dahim, jala biloki tinha kai parichahim .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,29,chaupai,गहइ छाहँ सक सो न उड़ाई। एहि बिधि सदा गगनचर खाई ॥,"Gahai chaha.n saka so na u.dai, ehi bidhi sada gaganachara khai .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,30,chaupai,सोइ छल हनूमान कहँ कीन्हा। तासु कपटु कपि तुरतहिं चीन्हा ॥,"Soi chala hanumana kaha.n kinha, tasu kapatu kapi turatahim chinha .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,31,chaupai,ताहि मारि मारुतसुत बीरा। बारिधि पार गयउ मतिधीरा ॥,"Tahi mari marutasuta bira, baridhi para gayau matidhira .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,32,chaupai,तहाँ जाइ देखी बन सोभा। गुंजत चंचरीक मधु लोभा ॥,"Taha.n jai dekhi bana sobha, gumjata chamcharika madhu lobha .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,33,chaupai,नाना तरु फल फूल सुहाए। खग मृग बृंद देखि मन भाए ॥,"Nana taru phala phula suhae, khaga mrriga brrimda dekhi mana bhae .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,34,chaupai,सैल बिसाल देखि एक आगें। ता पर धाइ चढेउ भय त्यागें ॥,"Saila bisala dekhi eka agem, ta para dhai chadheu bhaya tyagem .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,35,chaupai,उमा न कछु कपि कै अधिकाई। प्रभु प्रताप जो कालहि खाई ॥,"Uma na kachu kapi kai adhikai, prabhu pratapa jo kalahi khai .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,36,chaupai,गिरि पर चढि लंका तेहिं देखी। कहि न जाइ अति दुर्ग बिसेषी ॥,"Giri para chadhi lamka tehim dekhi, kahi na jai ati Durga biseshi .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,37,chaupai,अति उतंग जलनिधि चहु पासा। कनक कोट कर परम प्रकासा ॥,"Ati utamga jalanidhi chahu pasa, kanaka kota kara parama prakasa .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,38,chhand,कनक कोट बिचित्र मनि कृत सुंदरायतना घना। चउहट्ट हट्ट सुबट्ट बीथीं चारु पुर बहु बिधि बना । गज बाजि खच्चर निकर पदचर रथ बरूथिन्ह को गनै । बहुरूप निसिचर जूथ अतिबल सेन बरनत नहिं बनै ॥,"Kanaka kota bichitra mani krrita sumdarayatana ghana, chauhatta hatta subatta bithim charu pura bahu bidhi bana, gaja baji khachchara nikara padachara ratha baruthinha ko ganai, bahurupa nisichara jutha atibala sena baranata nahim banai .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: 1. Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,39,chhand,बन बाग उपबन बाटिका सर कूप बापीं सोहहीं। नर नाग सुर गंधर्ब कन्या रूप मुनि मन मोहहीं । कहुँ माल देह बिसाल सैल समान अतिबल गर्जहीं। नाना अखारेन्ह भिरहिं बहु बिधि एक एकन्ह तर्जहीं ॥,"Bana baga upabana batika sara kupa bapim sohahim, nara naga sura gamdharba kanya rupa muni mana mohahim, kahu.n mala deha bisala saila samana atibala garjahim, nana akharenha bhirahim bahu bidhi eka ekanha tarjahim .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: 2. Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,40,chhand,करि जतन भट कोटिन्ह बिकट तन नगर चहुँ दिसि रच्छहीं। कहुँ महिष मानषु धेनु खर अज खल निसाचर भच्छहीं । एहि लागि तुलसीदास इन्ह की कथा कछु एक है कही। रघुबीर सर तीरथ सरीरन्हि त्यागि गति पैहहिं सही ॥,"Kari jatana bhata kotinha bikata tana nagara chahu.n disi rachchahim, kahu.n mahisha manashu dhenu khara aja khala nisachara bhachchahim, ehi lagi tulasidasa inha ki katha kachu eka hai kahi, Raghubira sara tiratha sariranhi tyagi gati paihahim sahi .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: 3. Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,41,doha,पुर रखवारे देखि बहु कपि मन कीन्ह बिचार। अति लघु रूप धरौं निसि नगर करौं पइसार ॥,"Pura rakhavare dekhi bahu kapi mana kinha bichara, ati laghu rupa dharaum nisi nagara karaum paisara .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: 3. Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
